,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
409,ERIS Lifescience,1035.8,35.95,14092.33,0.72,79.63,15.42,550.93,36.78,11.34,391.98
410,Honasa Consumer,432.35,115.92,14018.66,0.0,26.71,1115.59,427.17,18.55,17.74,120.97
411,Railtel Corpn.,435.0,52.69,13960.78,0.59,77.53,41.03,832.7,19.39,20.3,265.11
412,Indegene,580.25,41.49,13883.58,0.0,94.8,90.78,673.0,6.45,29.02,334.96
413,Supreme Petroch.,727.55,42.16,13680.92,1.23,131.5,-17.47,1562.85,12.69,22.46,324.44
414,Amber Enterp.,4018.55,101.89,13540.01,0.0,99.03,-8.95,2805.46,-6.57,10.14,132.88
415,Happiest Minds,883.7,56.47,13456.57,0.65,71.98,8.93,417.29,10.4,21.57,238.36
416,Rainbow Child.,1322.0,61.86,13418.52,0.23,51.06,-4.91,341.1,7.61,19.31,217.0
417,J & K Bank,121.05,7.55,13329.78,0.41,633.44,34.03,2910.35,15.84,6.23,1771.22
418,JP Power Ven.,19.37,9.57,13275.26,0.0,588.79,2226.44,1514.83,9.78,13.96,1399.2
419,UTI AMC,1043.0,17.43,13274.95,2.11,181.44,89.92,416.08,38.38,22.58,765.68
420,S C I,284.25,21.59,13240.45,0.16,291.99,-18.85,1412.34,-0.41,7.95,612.15
421,Newgen Software,929.5,54.96,13040.2,0.44,101.23,31.18,349.68,23.37,26.88,237.34
422,EID Parry,733.2,14.44,13014.66,1.29,294.3,23.11,5557.04,-19.0,20.5,899.67
423,Tanla Platforms,961.5,23.68,12928.31,1.01,130.23,8.27,1005.52,20.64,38.13,548.32
424,G M D C,404.75,20.76,12871.05,2.84,207.13,-53.15,750.75,-20.82,13.78,617.24
425,Nuvoco Vistas,358.0,86.78,12786.2,0.0,100.35,-83.44,2933.44,0.17,5.47,147.37
426,Praj Industries,692.5,44.86,12729.01,0.65,91.93,4.34,1018.56,1.45,30.21,283.36
427,Akzo Nobel,2791.35,29.8,12720.13,2.7,108.8,14.05,973.4,2.31,42.21,426.7
428,Westlife Food,807.5,181.92,12591.87,0.43,0.76,-96.22,562.28,1.06,11.05,69.21
429,MMTC,83.8,83.33,12570.0,0.0,69.78,456.54,0.64,-99.91,9.18,150.9
430,Inox India,1367.6,63.37,12412.84,0.0,44.08,44.01,276.12,17.35,43.06,196.02
431,PNC Infratech,477.6,13.38,12252.39,0.11,395.89,171.19,2600.15,12.81,16.06,909.42
432,Bajaj Electrical,1063.45,90.11,12250.51,0.29,29.31,-44.7,1188.08,-8.04,12.72,135.88
433,KFin Technolog.,710.6,49.49,12169.33,0.0,74.47,30.6,228.34,24.69,30.26,246.05
434,Usha Martin,396.15,28.47,12072.29,0.61,106.33,1.0,829.03,-3.06,22.09,423.96
435,Birla Corpn.,1561.85,28.88,12018.67,0.16,193.34,164.62,2656.43,7.87,8.99,415.64
436,Doms Industries,1979.0,78.44,12009.93,0.0,46.93,32.93,403.74,19.99,30.69,153.14
437,Force Motors,9060.05,30.8,11941.15,0.11,140.29,259.9,2011.21,34.96,23.77,388.09
438,Volt.Transform.,11724.9,38.59,11862.27,0.34,93.53,22.15,504.16,14.62,32.46,307.36
439,Can Fin Homes,889.75,15.74,11847.35,0.7,209.03,26.07,926.83,21.35,9.25,750.7
440,Jubilant Pharmo,737.25,287.86,11773.2,0.69,-61.8,99.03,1758.6,4.8,6.74,40.9
441,Zydus Wellness,1845.25,41.78,11741.72,0.27,150.3,-1.44,782.6,9.76,5.37,281.09
442,Aether Industri.,885.0,126.34,11730.72,0.0,-1.43,-97.12,117.53,-36.05,7.52,92.86
443,City Union Bank,157.45,11.51,11661.89,0.65,254.82,16.87,1374.12,11.89,6.78,1015.73
444,Godrej Agrovet,606.45,32.45,11658.53,1.6,65.48,143.42,2134.28,1.88,13.64,359.45
445,eClerx Services,2373.0,22.66,11633.7,0.04,129.89,-1.87,766.53,10.59,32.3,512.82
446,Equitas Sma. Fin,102.29,14.56,11611.43,0.95,207.62,9.25,1444.65,25.0,10.35,798.96
447,H.G. Infra Engg.,1766.85,21.87,11514.77,0.07,190.03,11.17,1708.26,11.26,24.08,525.63
448,Granules India,473.85,28.37,11484.65,0.32,129.65,8.39,1175.78,-1.65,15.34,405.31
449,Lemon Tree Hotel,144.65,77.13,11459.88,0.0,84.0,52.33,327.31,29.53,11.17,148.49
450,Bombay Burmah,1638.0,16.03,11431.08,0.07,526.4,18286.79,4161.69,1.3,28.33,712.59
451,Minda Corp,474.7,49.99,11349.03,0.25,70.75,-41.98,1214.98,13.07,15.1,227.22
452,Happy Forgings,1201.0,46.62,11314.05,0.0,65.79,29.74,343.34,13.51,22.7,242.99
453,Vesuvius India,5555.9,47.31,11278.46,0.22,68.78,58.66,453.35,23.22,26.09,212.9
454,Tega Inds.,1679.05,57.62,11171.69,0.12,89.49,15.83,506.98,27.89,19.17,193.86
455,Graphite India,572.0,13.88,11165.72,1.9,16.0,-44.83,720.0,-11.66,18.48,805.0
456,Azad Engineering,1887.45,190.44,11157.31,0.0,14.93,0.67,92.8,9.29,21.54,58.58
457,T R I L,780.1,251.39,11121.42,0.03,41.62,342.68,512.7,16.96,14.81,44.24
458,KPI Green Energy,1825.95,68.02,11007.38,0.06,43.04,34.43,289.36,58.64,21.63,161.89
459,RattanIndia Ent,78.86,23.1,10900.58,0.0,-81.5,41.01,1294.3,17.05,36.04,471.37
460,Valor Estate,200.0,8.62,10755.77,0.0,-13.33,84.25,144.22,147.16,22.95,1240.98
461,C.E. Info System,1987.55,80.21,10747.11,0.15,38.25,35.4,106.9,47.51,,133.96
462,Saregama India,553.4,54.05,10681.15,0.71,53.9,23.37,263.05,29.16,19.41,197.56
463,Caplin Point Lab,1403.1,23.31,10655.42,0.33,121.23,19.75,453.22,16.43,25.24,457.08
464,Indiabulls Hous.,174.65,8.74,10630.37,0.71,319.43,22.87,2204.61,6.23,10.08,1216.97
465,Varroc Engineer,695.7,19.42,10629.34,0.0,58.37,43.51,1974.86,16.23,17.77,546.7
466,India Grid Trust,135.21,37.15,10596.05,10.44,58.48,-58.75,813.54,31.7,8.3,285.37
467,MOIL,520.5,36.14,10591.39,0.69,91.15,12.6,415.88,-2.85,16.48,293.34
468,Juniper Hotels,475.8,444.8,10586.67,0.0,46.75,216.09,245.28,26.45,6.81,23.8
469,Cera Sanitary.,8110.0,44.02,10547.72,0.76,75.03,12.47,546.63,2.47,24.62,239.3
470,KNR Construct.,373.75,13.88,10511.18,0.06,340.61,140.32,1414.0,13.54,25.41,752.3
471,Glenmark Life,857.2,22.31,10503.01,2.61,97.94,-33.08,536.6,-13.64,28.08,470.89
472,TTK Prestige,757.0,46.64,10493.14,0.79,57.42,-1.02,622.56,1.9,14.5,225.33
